"Timestamp","How.far.do.you.commute.to.school.","Do.you.have.experience.with.online.classes.","Do.you.have.easy.access.to.the.internet.","Are.you.the.owner.of.the.computer.you.use.for.school.","Do.you.easily.get.distracted.at.home.","Are.you.taking.a.lab.","In.general..do.you.prefer.labs.online.or.in.person..","Do.you.prefer.in.person.or.online.learning."
"2021/10/15 6:21:13 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 8:46:47 PM MDT","20-40 miles","Yes","Yes","Yes","No","No","In-person","Online"
"2021/10/15 6:59:03 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","Yes","Online","Online"
"2021/10/16 5:41:23 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/16 6:13:35 PM MDT","20-40 miles","No","Yes","Yes","Yes","Yes","In-person","Online"
"2021/10/16 12:10:32 AM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","Online"
"2021/10/17 5:56:09 AM MDT","0-20 miles","Yes","Yes","Yes","No","No","Online","Online"
"2021/10/15 6:13:19 PM MDT","40-60 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 5:47:31 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/15 10:17:13 PM MDT","40-60 miles","Yes","Yes","No","Yes","Yes","In-person","In-person"
"2021/10/17 10:55:43 AM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","In-person","Online"
"2021/10/15 6:12:28 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","Yes","In-person","Online"
"2021/10/16 8:48:17 PM MDT","40-60 miles","Yes","No","Yes","Yes","Yes","Online","Online"
"2021/10/16 5:51:32 PM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","In-person","In-person"
"2021/10/16 5:34:20 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","Online","Online"
"2021/10/16 5:35:15 PM MDT","20-40 miles","Yes","Yes","Yes","No","Yes","In-person","In-person"
"2021/10/15 6:44:06 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/15 10:37:29 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 5:40:50 PM MDT","60-beyond","Yes","Yes","Yes","No","Yes","Online","Online"
"2021/10/15 6:22:23 PM MDT","40-60 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/15 6:27:35 PM MDT","40-60 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 5:49:03 PM MDT","20-40 miles","Yes","Yes","Yes","Yes","Yes","In-person","Online"
"2021/10/16 11:20:58 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 5:38:46 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/16 5:38:55 PM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","Online","Online"
"2021/10/15 6:48:54 PM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","In-person","In-person"
"2021/10/16 5:46:55 PM MDT","40-60 miles","Yes","Yes","No","Yes","Yes","In-person","In-person"
"2021/10/15 6:18:43 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/16 11:10:28 PM MDT","40-60 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/15 7:00:06 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","Online"
